o_taz,d_taz,total
21510111,21510111,18274.9
21510111,21510120,5019.43
21510111,21510130,11672.9
21510111,21510330,4535.5
21510111,26510110,7972.97
21510111,26510130,5185.04
21510111,26510310,5100.45
21510120,21510111,5012.95
21510120,21510120,16954.9
21510120,21510130,9919.91
21510120,21510330,3511.41
21510120,26510110,7038.94
21510120,26510130,4639.01
21510120,26510310,5770.4
21510130,21510111,6498.55
21510130,21510120,8959.32
21510130,21510130,55991.8
21510130,21510330,8065.73
21510130,26510110,11157.7
21510130,26510130,7745.23
21510130,26510310,8243.51
21510330,21510111,3454.38
21510330,21510120,1413.9
21510330,21510130,8693.97
21510330,21510330,10449.7
21510330,26510110,5983.14
21510330,26510130,3266.75
21510330,26510310,2715.01
26510110,21510111,3486.74
26510110,21510120,3785.08
26510110,21510130,9252.96
26510110,21510330,4694.52
26510110,26510110,29250.4
26510110,26510130,9745.31
26510110,26510310,5657.67
26510130,21510111,3660.8
26510130,21510120,3881.99
26510130,21510130,8241.18
26510130,21510330,3634.8
26510130,26510110,13893.6
26510130,26510130,17396
26510130,26510310,6067.81
26510310,21510111,3892.59
26510310,21510120,4103.37
26510310,21510130,7420.63
26510310,21510330,2520.86
26510310,26510110,6758.87
26510310,26510130,4871.39
26510310,26510310,11170.5
