id,departtime,from,to,vehicleClass,algorithm
0,43200,1961069300,1960991700,C,0
1,43200,1961230401,1451047900,C,0
2,43200,1451180201,1450812801,C,0
3,43200,1961058900,1451100100,C,0
4,43200,1451096500,1961244501,C,0
5,43200,1961253001,1961268001,C,0
6,43200,1450990400,1451083900,C,0
7,43200,1961202801,1960064202,C,0
8,43200,1960995300,1451065700,C,0
9,43201,1450910400,1451103500,C,0
10,43201,1450041000,1450050901,C,0
11,43201,1450048800,1451052800,C,0
12,43201,1450057206,1450812304,C,0
13,43201,1961053000,1960080303,C,0
14,43202,1450914400,1451104600,C,0
15,43202,1451112800,1451120500,C,0
16,43202,1450812304,1450573613,C,0
17,43202,1450573317,1450811203,C,0
18,43202,1451098300,1451138800,C,0
19,43202,1960995000,1960071800,C,0
20,43203,1960056601,1961290201,C,0
21,43203,1961042800,1960073402,C,0
22,43203,1450813604,1450812801,C,0
23,43203,1451180901,1451187601,C,0
24,43203,1451089300,1450008100,C,0
25,43204,1450908900,1450813300,C,0
26,43204,1451086300,1451101400,C,0
27,43204,1450056200,1450676001,C,0
28,43204,1960064101,1960694600,C,0
29,43204,1451111400,1961202601,C,0
30,43204,1960076404,1450993800,C,0
31,43204,1961057500,1450573005,C,0
32,43204,1450991600,1960056902,C,0
33,43204,1451179001,1961066100,C,0
34,43204,1961299101,1451085500,C,0
35,43204,1450573613,1961042400,C,0
36,43205,1450812302,1451056300,C,0
37,43205,1960074902,1960059502,C,0
38,43205,1960079200,1960067300,C,0
39,43205,1450904000,1451175501,C,0
40,43205,1451095000,1451101200,C,0
41,43205,1450335401,1961070800,C,0
42,43205,1451120000,1450573503,C,0
43,43206,1450811902,1961058500,C,0
44,43206,1961244301,1961057200,C,0
45,43206,1960080403,1960008901,C,0
46,43206,1451166301,1450812601,C,0
47,43206,1451099300,1451081600,C,0
48,43207,1961295601,1961230401,C,0
49,43207,1451156601,1450573213,C,0
50,43207,1451121000,1451172201,C,0
51,43207,1450011903,1451072800,C,0
52,43207,1451171501,1450993700,C,0
53,43207,1450421300,1450911600,C,0
54,43207,1451086500,1960003505,C,0
55,43207,1451069400,1960006105,C,0
56,43208,1451191201,1450809201,C,0
57,43208,1960242500,1960988900,C,0
58,43208,1451176801,1450049300,C,0
59,43208,1451060200,1450808900,C,0
60,43208,1960218700,1960241002,C,0
61,43208,1961244501,1961206801,C,0
62,43208,1451139400,1450420704,C,0
63,43208,1450809700,1960064901,C,0
64,43209,1451100800,1450904300,C,0
65,43209,1450013302,1450678004,C,0
66,43209,1450812902,1450013600,C,0
67,43209,1451104900,1960076604,C,0
68,43209,1450929900,1961233301,C,0
69,43209,1451084500,1451190101,C,0
70,43210,1451106700,1450995005,C,0
71,43210,1451056800,1451166401,C,0
72,43210,1451161201,1450012700,C,0
73,43210,1451178201,1450007800,C,0
74,43210,1961230901,1450808006,C,0
75,43211,1961174200,1450573505,C,0
76,43211,1450420603,1450573123,C,0
77,43211,1450922500,1960075600,C,0
78,43211,1451193401,1451101800,C,0
79,43211,1451188701,1451190701,C,0
80,43211,1960058900,1960229200,C,0
81,43211,1960001703,1451096100,C,0
82,43212,1450909600,1451096400,C,0
83,43212,1960244100,1961298901,C,0
84,43212,1451075200,1450337300,C,0
85,43212,1960063900,1960068004,C,0
86,43212,1450812501,1450002500,C,0
87,43212,1451089300,1451193901,C,0
88,43212,1451191501,1450014000,C,0
89,43212,1960052900,1450807905,C,0
90,43212,1450573402,1451065200,C,0
91,43213,1960069300,1960982400,C,0
92,43213,1451095200,1961045200,C,0
93,43213,1451119000,1450908800,C,0
94,43214,1450808100,1451106100,C,0
95,43214,1451107300,1450058600,C,0
96,43214,1451088500,1960918800,C,0
97,43214,1450910202,1961053500,C,0
98,43214,1451064200,1960074100,C,0
99,43214,1451192501,1450808402,C,0
100,43215,1451189901,1960055901,C,0
101,43215,1450922400,1961267501,C,0
102,43215,1451071200,1450908700,C,0
103,43215,1960052600,1451165401,C,0
104,43215,1451116600,1450012003,C,0
105,43216,1961058500,1960071302,C,0
106,43216,1450812801,1450922200,C,0
107,43216,1451098800,1451191501,C,0
108,43216,1451172901,1451116900,C,0
109,43216,1961202601,1960051403,C,0
110,43216,1451089000,1450902700,C,0
111,43216,1451046700,1960241200,C,0
112,43217,1450051004,1451085000,C,0
113,43217,1961028600,1960069901,C,0
114,43217,1960007205,1961266501,C,0
115,43217,1450906000,1450421200,C,0
116,43217,1451194701,1451138600,C,0
117,43218,1451159401,1960007305,C,0
118,43218,1450573215,1451112000,C,0
119,43218,1451182501,1450994400,C,0
120,43218,1450573003,1451088500,C,0
121,43219,1450573712,1961048000,C,0
122,43219,1960061701,1960921500,C,0
123,43219,1961302801,1451095900,C,0
124,43219,1451117700,1961060100,C,0
125,43219,1960071902,1960008700,C,0
126,43219,1960694700,1960063900,C,0
127,43219,1450062100,1960069300,C,0
128,43219,1451112500,1451083600,C,0
129,43220,1960051802,1960007405,C,0
130,43220,1960053300,1450013302,C,0
131,43220,1451083900,1451098700,C,0
132,43220,1451120900,1451088800,C,0
133,43220,1451086000,1451189501,C,0
134,43220,1451046900,1450003006,C,0
135,43221,1450907900,1960696500,C,0
136,43221,1450993800,1450008100,C,0
137,43221,1960048900,1451056100,C,0
138,43221,1960241001,1960076601,C,0
139,43221,1961071100,1960071604,C,0
140,43221,1961066400,1960060201,C,0
141,43222,1451047900,1450420400,C,0
142,43222,1450914400,1961244301,C,0
143,43222,1961042900,1450420900,C,0
144,43222,1450907600,1451192201,C,0
145,43222,1451139000,1960054800,C,0
146,43222,1451184601,1450812801,C,0
147,43222,1450002905,1961199901,C,0
148,43222,1450991600,1450573405,C,0
149,43223,1451108900,1961030100,C,0
150,43223,1451109600,1451166301,C,0
151,43223,1451195101,1450048200,C,0
152,43223,1451176601,1450573620,C,0
153,43223,1960530800,1960070900,C,0
154,43223,1451110800,1960062100,C,0
155,43223,1960065900,1960070801,C,0
156,43223,1450056000,1450913002,C,0
157,43224,1961030500,1960070204,C,0
158,43224,1451104800,1961054600,C,0
159,43224,1451071300,1450920200,C,0
160,43224,1450057700,1450906800,C,0
161,43224,1451102000,1450808200,C,0
162,43224,1450811104,1960048002,C,0
163,43224,1960531300,1960065900,C,0
164,43225,1960068301,1961044400,C,0
165,43225,1451056400,1451090900,C,0
166,43225,1960052301,1960229400,C,0
167,43225,1450927500,1450572802,C,0
168,43225,1450812203,1450809000,C,0
169,43225,1450808200,1451096400,C,0
170,43225,1451143000,1960982600,C,0
171,43225,1451064600,1960047901,C,0
172,43226,1451083300,1450811203,C,0
173,43226,1451074900,1450910100,C,0
174,43226,1450809102,1451112200,C,0
175,43226,1961297901,1451071900,C,0
176,43226,1961070100,1450068700,C,0
177,43227,1961206501,1961072400,C,0
178,43227,1451117000,1960001803,C,0
179,43227,1450573101,1450811901,C,0
180,43227,1451096400,1961044400,C,0
181,43227,1960057203,1960064902,C,0
182,43227,1961075900,1960071000,C,0
183,43228,1450338300,1961235701,C,0
184,43228,1450905800,1450814500,C,0
185,43228,1451092000,1451095600,C,0
186,43228,1450051004,1450905100,C,0
187,43228,1451178901,1961047900,C,0
188,43228,1450573311,1451112400,C,0
189,43229,1450050203,1450044800,C,0
190,43229,1960056209,1451179501,C,0
191,43229,1960243502,1960059902,C,0
192,43229,1960987800,1961074600,C,0
193,43229,1450339800,1451195901,C,0
194,43229,1450992100,1451181201,C,0
195,43230,1961044000,1960071306,C,0
196,43230,1960061400,1960071800,C,0
197,43230,1451140800,1961203601,C,0
198,43230,1960008700,1960002200,C,0
199,43230,1960530500,1450815000,C,0
200,43230,1961054100,1450572901,C,0
201,43230,1450924400,1451119200,C,0
202,43230,1961056300,1960696500,C,0
203,43230,1960054200,1450928200,C,0
204,43230,1961058900,1451188701,C,0
205,43230,1960077500,1960068302,C,0
206,43231,1960073802,1450068900,C,0
207,43231,1451057700,1450813506,C,0
208,43231,1451090600,1961053900,C,0
209,43231,1960987300,1450420701,C,0
210,43231,1450573621,1451080100,C,0
211,43231,1960067100,1960006106,C,0
212,43231,1961046000,1451094800,C,0
213,43231,1961294801,1960000302,C,0
214,43231,1451079600,1451078300,C,0
215,43232,1961256701,1961059500,C,0
216,43232,1960057500,1451097900,C,0
217,43232,1961297201,1450810000,C,0
218,43232,1451178101,1960000705,C,0
219,43232,1960405104,1960405600,C,0
220,43233,1450057106,1450814300,C,0
221,43233,1961060300,1450814500,C,0
222,43233,1450003007,1450994903,C,0
223,43233,1450674500,1450993100,C,0
224,43233,1961267001,1960068501,C,0
225,43233,1451173901,1451190801,C,0
226,43233,1450994000,1451048700,C,0
227,43234,1450902602,1450917800,C,0
228,43234,1451178001,1451154901,C,0
229,43234,1450927100,1450009302,C,0
230,43234,1451085100,1960051501,C,0
231,43234,1451195201,1960244500,C,0
232,43234,1451112500,1451047800,C,0
233,43235,1960070603,1960075902,C,0
234,43235,1451142100,1960068004,C,0
235,43235,1451117700,1960073900,C,0
236,43235,1961203601,1960073602,C,0
237,43235,1451120200,1450812304,C,0
238,43235,1451048600,1450811804,C,0
239,43235,1451174001,1961058200,C,0
240,43236,1451157101,1450810401,C,0
241,43236,1961299801,1450674300,C,0
242,43236,1451157601,1451077500,C,0
243,43236,1451172801,1450811204,C,0
244,43236,1450923700,1451087700,C,0
245,43237,1960405203,1960009608,C,0
246,43237,1960061900,1961072600,C,0
247,43237,1961265701,1960049500,C,0
248,43237,1450420300,1450046601,C,0
249,43237,1450675200,1451170201,C,0
250,43237,1961059500,1961260401,C,0
251,43237,1960241101,1961263501,C,0
252,43237,1450904600,1451101000,C,0
253,43237,1451183701,1450010502,C,0
254,43237,1451056700,1960000811,C,0
255,43238,1450573614,1961261101,C,0
256,43238,1960067200,1451084900,C,0
257,43238,1450904800,1960075902,C,0
258,43238,1451068500,1961265801,C,0
259,43238,1450994906,1451178601,C,0
