dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00090001,20220601090000,1,959,56.66666667,4.29,,4.3
00090001,20220601020000,1,175,60,1.376666667,,1.4
00090001,20220601140000,1,1411,54.33333333,4.67,,4.7
00090001,20220601160000,1,1061,57,3.976666667,,4
00090001,20220601170000,1,1080,58.66666667,4.74,,4.766666667
00090001,20220601060000,1,337,63,2.056666667,,2.1
00090001,20220601230000,1,429,58.66666667,2.57,,2.6
00090001,20220601150000,1,1273,56.66666667,4.646666667,,4.666666667
00090001,20220601210000,1,623,55.33333333,3.016666667,,3.033333333
00090001,20220601220000,1,617,56,2.733333333,,2.733333333
00090001,20220601190000,1,914,56.33333333,4.02,,4
00090001,20220601200000,1,700,57.66666667,3.44,,3.433333333
00090001,20220601040000,1,116,65,1.096666667,,1.1
00090001,20220601050000,1,173,59.33333333,1.446666667,,1.466666667
00090001,20220601010000,1,223,60,1.403333333,,1.433333333
00090001,20220601120000,1,1681,54.33333333,5.6,,5.6
00090001,20220601070000,1,603,61,3.116666667,,3.133333333
00090001,20220601130000,1,1459,52.66666667,5.186666667,,5.2
00090001,20220601110000,1,1565,53.66666667,5.256666667,,5.266666667
00090001,20220601180000,1,1197,57.66666667,4.62,,4.666666667
00090001,20220601080000,1,880,57.33333333,4.266666667,,4.333333333
00090001,20220601000000,1,376,60,2.02,,2.033333333
00090001,20220601030000,1,132,60.33333333,1.393333333,,1.366666667
00090001,20220601100000,1,1307,54.33333333,5.216666667,,5.2
00090001,20220602210000,1,516,54,3.166666667,,3.2
00090001,20220602000000,1,262,59.33333333,1.8,,1.8
00090001,20220602060000,1,342,62.66666667,2.233333333,,2.233333333
00090001,20220602230000,1,496,57.66666667,2.646666667,,2.666666667
00090001,20220602070000,1,863,57.33333333,4.23,,4.266666667
00090001,20220602120000,1,1227,55.66666667,5.37,,5.366666667
00090001,20220602100000,1,1671,52.33333333,5.563333333,,5.566666667
00090001,20220602170000,1,1138,58,4.83,,4.833333333
00090001,20220602180000,1,1264,56.66666667,4.906666667,,4.933333333
00090001,20220602200000,1,844,57,3.653333333,,3.666666667
00090001,20220602050000,1,170,62,1.636666667,,1.666666667
00090001,20220602090000,1,1952,49,6.273333333,,6.266666667
00090001,20220602140000,1,984,57.66666667,3.933333333,,3.966666667
00090001,20220602220000,1,443,55.33333333,2.556666667,,2.566666667
00090001,20220602080000,1,1507,52.66666667,5.583333333,,5.6
00090001,20220602110000,1,1166,55.33333333,5.53,,5.533333333
00090001,20220602130000,1,1225,56,5.13,,5.166666667
00090001,20220602150000,1,928,58.33333333,4.383333333,,4.4
00090001,20220602010000,1,183,60,1.75,,1.766666667
00090001,20220602160000,1,1028,59.66666667,4.276666667,,4.3
00090001,20220602020000,1,96,62,0.99,,1
00090001,20220602030000,1,106,62.33333333,1.21,,1.2
00090001,20220602040000,1,89,62.66666667,1.326666667,,1.366666667
00090001,20220602190000,1,1070,57.33333333,4.336666667,,4.333333333
00090001,20220604130000,1,1967,50.33333333,6.706666667,,6.7
00090001,20220604000000,1,380,58,2.163333333,,2.166666667
00090001,20220604220000,1,613,56,2.786666667,,2.8
00090001,20220604210000,1,674,55,3.506666667,,3.5
00090001,20220604090000,1,1356,54,6.513333333,,6.533333333
00090001,20220604160000,1,1643,55,5.326666667,,5.3
00090001,20220604050000,1,136,60,1.403333333,,1.433333333
00090001,20220604110000,1,2051,49.33333333,6.976666667,,6.966666667
00090001,20220604040000,1,120,61.33333333,1.593333333,,1.6
