id,departtime,from,to,vehicleClass,algorithm
0,43200,1451057100,1450991700,C,0
1,43200,1451115000,1450050302,C,0
2,43200,1450054100,1450051002,C,0
3,43200,1960001704,1451104700,C,0
4,43200,1451080800,1961055100,C,0
5,43200,1450811404,1450056441,C,0
6,43200,1450013500,1450922100,C,0
7,43200,1451142700,1451140800,C,0
8,43200,1451161301,1451069300,C,0
9,43201,1450915600,1451102800,C,0
10,43201,1451090200,1451084900,C,0
11,43201,1961198501,1451082700,C,0
12,43201,1961262401,1960005400,C,0
13,43201,1451115000,1960696400,C,0
14,43202,1960065200,1960530800,C,0
15,43202,1450573217,1450993900,C,0
16,43202,1961046800,1960988900,C,0
17,43202,1961257001,1960064202,C,0
18,43202,1960077500,1960067700,C,0
19,43202,1451108600,1960405800,C,0
20,43203,1961264701,1961073200,C,0
21,43203,1450573214,1451189201,C,0
22,43203,1451072600,1450047703,C,0
23,43203,1960001900,1960990200,C,0
24,43203,1451182801,1451202501,C,0
25,43204,1960074901,1451063900,C,0
26,43204,1450339000,1961046500,C,0
27,43204,1961256501,1451118900,C,0
28,43204,1960076700,1961199601,C,0
29,43204,1450813200,1450420703,C,0
30,43204,1450421500,1450810100,C,0
31,43204,1451110100,1450422012,C,0
32,43204,1961252901,1960005701,C,0
33,43204,1961061100,1450912300,C,0
34,43204,1451116200,1960008902,C,0
35,43204,1451087000,1961233501,C,0
36,43205,1960004000,1451188701,C,0
37,43205,1450046502,1450069300,C,0
38,43205,1451083500,1451100900,C,0
39,43205,1961290201,1961259501,C,0
40,43205,1451088700,1450057201,C,0
41,43205,1961300501,1960058200,C,0
42,43205,1450062100,1450056357,C,0
43,43206,1960995200,1961204601,C,0
44,43206,1450068500,1961043300,C,0
45,43206,1451099500,1960405600,C,0
46,43206,1961295301,1960982400,C,0
47,43206,1960067902,1450011903,C,0
48,43207,1450009324,1451067400,C,0
49,43207,1451142400,1450420603,C,0
50,43207,1451073400,1960060400,C,0
51,43207,1961200201,1450573306,C,0
52,43207,1451106100,1960049500,C,0
53,43207,1451068400,1451164901,C,0
54,43207,1960009002,1450920300,C,0
55,43207,1961205301,1450069502,C,0
56,43208,1961059600,1451178701,C,0
57,43208,1451116000,1450050401,C,0
58,43208,1450807901,1451189001,C,0
59,43208,1961060700,1450573123,C,0
60,43208,1960076603,1960694500,C,0
61,43208,1961065800,1450009314,C,0
62,43208,1451184101,1961054400,C,0
63,43208,1961255001,1960073100,C,0
64,43209,1450069000,1960056502,C,0
65,43209,1960066302,1961047000,C,0
66,43209,1450054600,1960079806,C,0
67,43209,1450675903,1451174501,C,0
68,43209,1961048100,1961071400,C,0
69,43209,1450573218,1451153900,C,0
70,43210,1451079200,1451078400,C,0
71,43210,1961058900,1450421000,C,0
72,43210,1450573613,1961203801,C,0
73,43210,1451170201,1450044800,C,0
74,43210,1960054100,1450339300,C,0
75,43211,1961198501,1961198401,C,0
76,43211,1451094800,1450810604,C,0
77,43211,1451070200,1960405500,C,0
78,43211,1450573317,1451117000,C,0
79,43211,1450594600,1960983900,C,0
80,43211,1450813505,1451096300,C,0
81,43211,1961300101,1960069000,C,0
82,43212,1450919900,1451186101,C,0
83,43212,1450056441,1450812302,C,0
84,43212,1960987800,1451101000,C,0
85,43212,1451082700,1451086000,C,0
86,43212,1451142300,1961050000,C,0
87,43212,1450573126,1450573304,C,0
88,43212,1450050903,1960077100,C,0
89,43212,1451106100,1451097900,C,0
90,43212,1451191501,1450573203,C,0
91,43213,1451049300,1450065804,C,0
92,43213,1451084800,1450812904,C,0
93,43213,1961062100,1960054700,C,0
94,43214,1450922400,1960055902,C,0
95,43214,1961298201,1961058600,C,0
96,43214,1451085800,1451106100,C,0
97,43214,1450903500,1450048602,C,0
98,43214,1961074200,1451098800,C,0
99,43214,1451114200,1960992600,C,0
100,43215,1961062700,1960047602,C,0
101,43215,1450049102,1450420703,C,0
102,43215,1961201401,1961056200,C,0
103,43215,1451162201,1960059802,C,0
104,43215,1961265301,1960217001,C,0
105,43216,1450904100,1450013700,C,0
106,43216,1451140300,1450421500,C,0
107,43216,1451090400,1961035600,C,0
108,43216,1960070002,1450420701,C,0
109,43216,1451055000,1450811703,C,0
110,43216,1450052700,1450910500,C,0
111,43216,1451172501,1450054300,C,0
112,43217,1961295401,1961300801,C,0
113,43217,1961055400,1960985100,C,0
114,43217,1451177901,1451068200,C,0
115,43217,1961070400,1960994100,C,0
116,43217,1961031200,1961045900,C,0
117,43218,1450808302,1960987400,C,0
118,43218,1450060100,1451098400,C,0
119,43218,1961201901,1961071900,C,0
120,43218,1961054200,1960991600,C,0
121,43219,1450042500,1451138200,C,0
122,43219,1961059500,1961267001,C,0
123,43219,1450062200,1450055600,C,0
124,43219,1450923500,1450815400,C,0
125,43219,1960004300,1961260301,C,0
126,43219,1450010503,1450573716,C,0
127,43219,1961243601,1451184701,C,0
128,43219,1960073900,1961061800,C,0
129,43220,1960990600,1961045200,C,0
130,43220,1961199701,1960003302,C,0
131,43220,1451116900,1450339400,C,0
132,43220,1450810302,1450915100,C,0
133,43220,1960050900,1960241101,C,0
134,43220,1450992200,1960002200,C,0
135,43221,1960073503,1961265801,C,0
136,43221,1450573720,1961198401,C,0
137,43221,1450067900,1960995600,C,0
138,43221,1960075902,1960226900,C,0
139,43221,1450676800,1961049900,C,0
140,43221,1451052200,1450915000,C,0
141,43222,1450068400,1961050200,C,0
142,43222,1451143800,1450420500,C,0
143,43222,1450009324,1451163201,C,0
144,43222,1961237301,1961067800,C,0
145,43222,1450991000,1450810200,C,0
146,43222,1961299101,1961297601,C,0
147,43222,1451055600,1450807400,C,0
148,43222,1961262101,1961058500,C,0
149,43223,1451191701,1960070203,C,0
150,43223,1451047900,1450002905,C,0
151,43223,1960008400,1450050203,C,0
152,43223,1961298301,1451081700,C,0
153,43223,1450011704,1451090900,C,0
154,43223,1451052200,1451095400,C,0
155,43223,1450335700,1450057103,C,0
156,43223,1451110500,1450050104,C,0
157,43224,1961058100,1961201201,C,0
158,43224,1451142200,1451100900,C,0
159,43224,1451102500,1960073504,C,0
160,43224,1451059900,1960066800,C,0
161,43224,1961297401,1451053300,C,0
162,43224,1961258901,1450811706,C,0
163,43224,1960049600,1960991400,C,0
164,43225,1450920400,1450572802,C,0
165,43225,1450912600,1451191801,C,0
166,43225,1450921401,1451092100,C,0
167,43225,1960056001,1961265801,C,0
168,43225,1450991600,1961256501,C,0
169,43225,1960076800,1960241001,C,0
170,43225,1960048100,1960064102,C,0
171,43225,1450921402,1960051701,C,0
172,43226,1451140300,1450573605,C,0
173,43226,1451117600,1960068200,C,0
174,43226,1450993200,1960051803,C,0
175,43226,1451177501,1961046100,C,0
176,43226,1961200301,1961060000,C,0
177,43227,1961299901,1451163701,C,0
178,43227,1451182301,1960071902,C,0
179,43227,1960988500,1451092000,C,0
180,43227,1450420200,1960065500,C,0
181,43227,1960055501,1960062400,C,0
182,43227,1450012600,1450814400,C,0
183,43228,1960007103,1450002903,C,0
184,43228,1450050004,1450049101,C,0
185,43228,1451187801,1451105600,C,0
186,43228,1960051703,1450048502,C,0
187,43228,1960059902,1961058600,C,0
188,43228,1960070601,1960065900,C,0
189,43229,1961059500,1960062900,C,0
190,43229,1451203201,1960988200,C,0
191,43229,1961295901,1961265501,C,0
192,43229,1451183401,1451111400,C,0
193,43229,1451190801,1450807901,C,0
194,43229,1450811902,1451091900,C,0
195,43230,1451048600,1450573005,C,0
196,43230,1451055100,1960066200,C,0
197,43230,1450904700,1961204101,C,0
198,43230,1451065200,1451054900,C,0
199,43230,1451051800,1961072400,C,0
200,43230,1450815200,1961199501,C,0
201,43230,1451108400,1451100600,C,0
202,43230,1960004400,1451162101,C,0
203,43230,1451074600,1451113800,C,0
204,43230,1450807501,1960080403,C,0
205,43230,1450421100,1450812303,C,0
206,43231,1451193601,1451103100,C,0
207,43231,1450053310,1960067905,C,0
208,43231,1961053700,1961041600,C,0
209,43231,1450809202,1450811704,C,0
210,43231,1961296501,1450056450,C,0
211,43231,1451158701,1450067300,C,0
212,43231,1960000817,1960001701,C,0
213,43231,1961203501,1450573619,C,0
214,43231,1450917700,1451080500,C,0
215,43232,1451072800,1451164501,C,0
216,43232,1450340000,1450573023,C,0
217,43232,1451188601,1451189501,C,0
218,43232,1960245000,1450994801,C,0
219,43232,1451082300,1451166201,C,0
220,43233,1451108000,1450905700,C,0
221,43233,1960047700,1451096300,C,0
222,43233,1451114300,1451155301,C,0
223,43233,1450918000,1451055900,C,0
224,43233,1450042600,1450050004,C,0
225,43233,1450991600,1450904900,C,0
226,43233,1451047800,1450811901,C,0
227,43234,1961238101,1960056602,C,0
228,43234,1451159301,1450055600,C,0
229,43234,1450573613,1961230601,C,0
230,43234,1961027900,1960244600,C,0
231,43234,1450012100,1451205601,C,0
232,43234,1450925500,1960079804,C,0
233,43235,1450055000,1450047802,C,0
234,43235,1451120500,1450047802,C,0
235,43235,1451067700,1451069300,C,0
236,43235,1960992900,1450056451,C,0
237,43235,1961070200,1960003504,C,0
238,43235,1960995500,1960068502,C,0
239,43235,1450812801,1451192901,C,0
240,43236,1451106500,1451055300,C,0
241,43236,1961071000,1961174600,C,0
242,43236,1450573615,1960051803,C,0
243,43236,1451066600,1451113500,C,0
244,43236,1450420701,1960075902,C,0
245,43237,1450676101,1960988100,C,0
246,43237,1451081500,1451165701,C,0
247,43237,1960064500,1961064600,C,0
248,43237,1960007203,1960076900,C,0
249,43237,1961062900,1451051600,C,0
250,43237,1451120500,1451158201,C,0
251,43237,1960068302,1960075400,C,0
252,43237,1450812002,1450573124,C,0
253,43237,1451138900,1960988000,C,0
254,43237,1961264801,1961264401,C,0
255,43238,1961299701,1450918800,C,0
256,43238,1961244601,1961253901,C,0
257,43238,1451102400,1451118400,C,0
258,43238,1451093400,1961046600,C,0
259,43238,1450906200,1450062401,C,0
260,43238,1450069000,1451100600,C,0
261,43238,1961255601,1451185401,C,0
262,43239,1450573021,1451052800,C,0
263,43239,1961294601,1451053500,C,0
264,43239,1450812701,1450573315,C,0
265,43239,1451195101,1451191801,C,0
266,43240,1960082002,1451087600,C,0
267,43240,1960068900,1960073801,C,0
268,43240,1961294301,1961052400,C,0
269,43240,1450338800,1960982700,C,0
270,43240,1960066700,1961073700,C,0
271,43240,1450420602,1451166101,C,0
272,43240,1451115800,1451093100,C,0
273,43240,1960000707,1960990100,C,0
274,43240,1450902402,1961060200,C,0
275,43240,1450421300,1450421000,C,0
276,43241,1961046700,1960067901,C,0
277,43241,1450808002,1450806900,C,0
278,43241,1450064200,1451078800,C,0
279,43241,1451173501,1960055902,C,0
280,43241,1960060202,1961243501,C,0
281,43241,1960048400,1960531400,C,0
282,43241,1451109300,1451188501,C,0
283,43241,1450056449,1960919300,C,0
284,43242,1451088200,1451093800,C,0
285,43242,1451140000,1960988200,C,0
286,43242,1961062300,1450055300,C,0
287,43242,1451158501,1451181401,C,0
288,43242,1451141500,1451101300,C,0
289,43242,1450916200,1450917700,C,0
290,43242,1450813604,1450573402,C,0
291,43242,1960074800,1451112000,C,0
292,43242,1960061900,1450063100,C,0
293,43243,1450812703,1451055800,C,0
294,43243,1450573401,1450811406,C,0
295,43243,1450810000,1450812701,C,0
296,43243,1451185601,1451071200,C,0
297,43244,1961259801,1450811501,C,0
298,43244,1451103800,1451103100,C,0
299,43244,1450920500,1451180001,C,0
300,43244,1960063900,1961206401,C,0
301,43244,1451156301,1961070200,C,0
302,43244,1450921402,1961058100,C,0
303,43244,1451096500,1960988000,C,0
304,43244,1451184701,1450010604,C,0
305,43244,1451188601,1961244401,C,0
306,43244,1450058500,1450042600,C,0
307,43244,1960054400,1961207201,C,0
308,43245,1451139100,1450009418,C,0
309,43245,1451095500,1451093800,C,0
310,43245,1960077500,1960054600,C,0
311,43245,1960694600,1450069401,C,0
312,43245,1961045500,1451118300,C,0
313,43245,1961260401,1961072500,C,0
314,43245,1961045800,1960052600,C,0
315,43246,1451096000,1961244801,C,0
316,43246,1450003900,1451068400,C,0
317,43246,1451048000,1451088500,C,0
318,43246,1450420703,1451066700,C,0
319,43246,1960001803,1960067200,C,0
320,43247,1451174601,1450066702,C,0
321,43247,1960061801,1450678001,C,0
322,43247,1450990900,1961053200,C,0
323,43247,1961035500,1961233201,C,0
324,43248,1451173101,1450049300,C,0
