o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,393,130000,140000,900
taz_21,taz_34,179,130000,140000,900
taz_24,taz_36,301,130000,140000,900
taz_30,taz_34,178,130000,140000,900
taz_30,taz_33,439,130000,140000,900
taz_22,taz_33,578,130000,140000,900
taz_14,taz_33,543,130000,140000,900
taz_16,taz_36,425,130000,140000,900
taz_25,taz_37,525,130000,140000,900
taz_6,taz_33,152,130000,140000,900
taz_17,taz_37,225,130000,140000,900
taz_17,taz_36,24,130000,140000,900
taz_17,taz_35,41,130000,140000,900
taz_23,taz_33,288,130000,140000,900
taz_23,taz_32,223,130000,140000,900
taz_31,taz_35,446,130000,140000,900
taz_8,taz_35,319,130000,140000,900
taz_7,taz_35,810,130000,140000,900
taz_15,taz_35,384,130000,140000,900
taz_15,taz_32,102,130000,140000,900
taz_9,taz_32,106,130000,140000,900
taz_0,taz_32,319,130000,140000,900
