taz,edges
taz_0,1450013302 1450013402 1450058500 1450058600 1451164701 1451164801 1451165001 1451165101 1451165201 1451165301 1451165401 1451165501 1451165601 1960047502
taz_1,
taz_2,
taz_3,
taz_4,
taz_5,
taz_6,1450011705 1450011804 1450057300 1451070600 1451070700 1451070800 1451070900 1451071000 1451071100 1451071200 1451071300 1451071400 1451071500 1451071600 1451071700 1451071800 1451071900
taz_7,1450011901 1450011902 1450011903 1450011904 1450012001 1450012002 1450012003 1450012004 1450012100 1450012200 1450012300 1450012400 1450012500 1450012600 1450012700 1450012800 1450057400 1450057500 1450057600 1450057700 1450057800 1450057900 1450058000 1450058100 1450058200 1450058300 1450058400 1450058700 1450058800 1450058900 1450059000 1450059100 1450059200 1450059300 1450059400 1450059500 1450059600 1450059700 1450059800 1450059900 1450060000 1450060100 1450060200 1450060300 1450060400 1450060500 1450060600 1450060900 1450061000 1450061100 1450061200 1450061300 1450061400 1450677902 1450677904 1450678001 1450678003 1450929700 1450929800 1451064400 1451064500 1451072000 1451072100 1451080400 1451080500 1451080600 1451080700 1451164101 1451164201 1451164301 1451164401
taz_8,1450062100 1450062200 1451154200 1451154300 1451164501 1451164601 1451164901 1960047601 1960047700 1960047800 1960048501 1960048502 1960048601 1960048602 1960048900 1960049000 1960049102 1960049202 1960229600 1961061900 1961062000
taz_9,1960047501 1960047602 1960048100 1960048200 1960990700 1960990800 1960990900 1960991000 1961059300 1961059400 1961061100 1961061200 1961061300 1961061400
taz_10,
taz_11,
taz_12,
taz_13,
taz_14,1450010502 1450010503 1450010504 1450010603 1450010604 1450011704 1450011805 1450053306 1450053405 1450053700 1450053800 1450053900 1450054000 1450054100 1450054200 1450054300 1450054400 1450054500 1450054600 1450054700 1450054800 1450054900 1450055000 1450055100 1450055200 1450055300 1450055400 1450055500 1450055600 1450055700 1450055800 1450675901 1450676003 1450921800 1450922100 1450923500 1450923600 1450923700 1450924000 1450924300 1450924600 1450924800 1450925000 1450925800 1450926100 1450927900 1450928000 1450928500 1450928600 1451064000 1451064100 1451064200 1451064300
taz_15,1450676500 1450676600 1450676700 1450676800 1450676900 1450677000 1450677100 1450677200 1450677300 1450677400 1450677500 1450677600 1450677700 1450677800 1450677903 1450678004 1450923300 1450923400 1450924400 1450924500 1450925100 1450925200 1450925500 1450925900 1450926000 1450926200 1450926300 1450926400 1450926500 1450926600 1450926900 1450927000 1450927100 1450927200 1450927300 1450927400 1450927500 1450927600 1450927700 1450927800 1450928100 1450928200 1450928300 1450928400 1450928700 1450928800 1450928900 1450929000 1450929100 1450929200 1450929301 1450929302 1450929401 1450929402 1450929500 1450929600 1450929900 1450930000 1451080200 1451080300
taz_16,1450062402 1960048702 1960048801 1960229500 1960918800 1960918900 1960919000 1960919100 1960919200 1960919300 1960982300 1960982400 1960982500 1960982600 1960982700 1960982800 1960982900 1960983000 1960983100 1960983200 1961173800 1961173900
taz_17,1960000302 1960000402 1960047901 1960047902 1960048001 1960048002 1960048300 1960048400 1960049300 1960049400 1960049500 1960049600 1960049700 1960049800 1961060700 1961060800 1961060900 1961061000 1961293901 1961294001 1961294101 1961294201 1961294701 1961294801
taz_18,
taz_19,
taz_20,
taz_21,1450051102 1450051201 1450339900 1450340000 1450994903 1450994904 1450995003 1450995004 1451067400 1451067500 1451067600 1451067700 1451077800 1451077900
taz_22,1450010602 1450053304 1450053307 1450053309 1450053310 1450053408 1450053409 1450053410 1450339700 1450339800 1450675902 1450675903 1450676001 1450676002 1450902900 1450903000 1450903100 1450903200 1450903300 1450903400 1450904100 1450904200 1450906400 1450906800 1450907300 1450907400 1450909100 1450909300 1450910300 1450910500 1450910700 1450910800 1450910900 1450911000 1450911300 1450911400 1450911500 1450912100 1450914100 1450914200 1450914400 1450914600 1450914800 1450915100 1450915700 1450915800 1450916300 1450916600 1450917000 1450917500 1450917900 1450918000 1450918100 1450918200 1450920200 1450920400 1450921301 1450921302 1450921401 1450921402 1450921700 1450922300 1451070200 1451070300 1451205601
