dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00100001,20220601090000,1,483,54,4.693333333,,4.7
00100001,20220601020000,1,111,51.33333333,3.15,,3.166666667
00100001,20220601140000,1,1197,46.66666667,10.33666667,,10.36666667
00100001,20220601160000,1,1486,43,12.07,,12.06666667
00100001,20220601170000,1,1379,43,12.6,,12.6
00100001,20220601060000,1,190,55,3.4,,3.4
00100001,20220601230000,1,462,46,7.516666667,,7.566666667
00100001,20220601150000,1,1411,45.66666667,11.08,,11.1
00100001,20220601210000,1,1032,41.33333333,11.19333333,,11.2
00100001,20220601220000,1,777,43.33333333,9.716666667,,9.733333333
00100001,20220601190000,1,1314,44.33333333,11.3,,11.3
00100001,20220601200000,1,1088,44.66666667,8.89,,8.9
00100001,20220601040000,1,79,53.33333333,2.316666667,,2.333333333
00100001,20220601050000,1,99,53,2.766666667,,2.766666667
00100001,20220601010000,1,199,51.66666667,3.82,,3.866666667
00100001,20220601120000,1,1063,48.66666667,8.803333333,,8.8
00100001,20220601070000,1,402,56.66666667,4.46,,4.466666667
00100001,20220601130000,1,1104,48.66666667,9.226666667,,9.266666667
00100001,20220601110000,1,923,50,7.603333333,,7.633333333
00100001,20220601180000,1,1423,40.33333333,12.76666667,,12.8
00100001,20220601080000,1,422,54.66666667,4.32,,4.333333333
00100001,20220601000000,1,336,49,6,,6
00100001,20220601030000,1,95,56,2.736666667,,2.733333333
00100001,20220601100000,1,617,53,5.116666667,,5.133333333
00100001,20220602210000,1,770,44,9.47,,9.5
00100001,20220602000000,1,268,50,5.306666667,,5.333333333
00100001,20220602060000,1,235,54.66666667,3.77,,3.8
00100001,20220602230000,1,470,46.66666667,7.07,,7.1
00100001,20220602070000,1,663,53,5.666666667,,5.666666667
00100001,20220602120000,1,904,51.66666667,7.923333333,,7.933333333
00100001,20220602100000,1,737,50.66666667,6.656666667,,6.666666667
00100001,20220602170000,1,1027,47,9.783333333,,9.8
00100001,20220602180000,1,1300,45.33333333,10.80666667,,10.83333333
00100001,20220602200000,1,1277,45,10.40666667,,10.43333333
00100001,20220602050000,1,91,51.66666667,2.74,,2.733333333
00100001,20220602090000,1,1066,42.33333333,11.77333333,,11.76666667
00100001,20220602140000,1,1028,48.33333333,9.77,,9.766666667
00100001,20220602220000,1,637,45,8.073333333,,8.1
00100001,20220602080000,1,721,54,6.263333333,,6.233333333
00100001,20220602110000,1,806,50.66666667,7.766666667,,7.766666667
00100001,20220602130000,1,800,49.33333333,8.09,,8.1
00100001,20220602150000,1,944,47.66666667,9.366666667,,9.4
00100001,20220602010000,1,151,51,3.8,,3.833333333
00100001,20220602160000,1,993,46.66666667,10.41333333,,10.43333333
00100001,20220602020000,1,85,53,3.12,,3.133333333
00100001,20220602030000,1,50,52.33333333,2.05,,2.033333333
00100001,20220602040000,1,75,52.33333333,2.153333333,,2.133333333
00100001,20220602190000,1,1526,41.66666667,11.53,,11.56666667
00100001,20220604130000,1,1090,47.66666667,9.33,,9.333333333
00100001,20220604000000,1,343,47.33333333,6.586666667,,6.6
00100001,20220604220000,1,925,42.33333333,11.37333333,,11.4
00100001,20220604210000,1,1092,40.33333333,11.91333333,,11.93333333
00100001,20220604090000,1,570,53,4.95,,4.933333333
00100001,20220604160000,1,1313,43,11.82,,11.83333333
00100001,20220604050000,1,80,49.66666667,2.57,,2.566666667
00100001,20220604110000,1,934,45,9.553333333,,9.566666667
00100001,20220604040000,1,76,52.33333333,2.81,,2.833333333
00100001,20220604070000,1,504,55,4.816666667,,4.833333333
00100001,20220604230000,1,638,45,9.223333333,,9.233333333
00100001,20220604120000,1,1043,48.33333333,9.243333333,,9.266666667
00100001,20220604080000,1,429,53.66666667,4.633333333,,4.633333333
00100001,20220604180000,1,1303,39,11.99,,12.03333333
00100001,20220604190000,1,1396,41.66666667,12.32,,12.3
00100001,20220604140000,1,1150,46,10.36666667,,10.36666667
00100001,20220604100000,1,848,51.66666667,6.613333333,,6.633333333
00100001,20220604020000,1,118,52.33333333,3.093333333,,3.1
00100001,20220604200000,1,1235,40.33333333,11.33,,11.36666667
00100001,20220604030000,1,92,50.33333333,3.02,,3.033333333
00100001,20220604150000,1,1321,43.33333333,11.38333333,,11.4
00100001,20220604010000,1,210,49.33333333,4.173333333,,4.166666667
00100001,20220604060000,1,199,55.33333333,3.153333333,,3.166666667
00100001,20220604170000,1,1341,42,12.16333333,,12.2
00100001,20220605010000,1,231,49.66666667,4.653333333,,4.666666667
00100001,20220605120000,1,898,48.33333333,8.46,,8.466666667
00100001,20220605130000,1,1018,45.66666667,9.103333333,,9.133333333
00100001,20220605140000,1,1207,41.33333333,11.36333333,,11.36666667
00100001,20220605090000,1,355,54.66666667,3.68,,3.666666667
00100001,20220605150000,1,1466,32.33333333,14.92333333,,14.96666667
00100001,20220605185900,1,1726,29.66666667,16.42333333,,16.43333333
00100001,20220605040000,1,65,53.66666667,2.46,,2.466666667
00100001,20220605100000,1,499,52,4.906666667,,4.933333333
00100001,20220605000000,1,390,48,6.086666667,,6.133333333
00100001,20220605215900,1,697,43.66666667,9.713333333,,9.7
00100001,20220605060000,1,112,53,2.55,,2.566666667
00100001,20220605070000,1,229,53.33333333,3.07,,3.1
00100001,20220605160000,1,1483,29.66666667,16.26,,16.26666667
00100001,20220605080000,1,265,53.33333333,3.596666667,,3.6
00100001,20220605165900,1,1391,30.66666667,14.78666667,,14.8
00100001,20220605020000,1,152,52.33333333,3.62,,3.633333333
00100001,20220605050000,1,50,53.33333333,1.933333333,,1.933333333
00100001,20220605110000,1,737,50,7.44,,7.466666667
00100001,20220605030000,1,77,50.33333333,2.673333333,,2.666666667
00100001,20220605230000,1,398,45,8.09,,8.1
00100001,20220605195900,1,1383,31.33333333,16.53666667,,16.56666667
00100001,20220605205900,1,1280,40.66666667,12.14,,12.16666667
00100001,20220605175900,1,1870,26.66666667,17.57,,17.6
00100001,20220606100000,1,583,52,5.783333333,,5.8
00100001,20220606130000,1,1215,46,10.47,,10.46666667
00100001,20220606140000,1,1539,43.33333333,11.84666667,,11.9
00100001,20220606090000,1,385,53,4.263333333,,4.3
00100001,20220606200000,1,1089,44.33333333,9.366666667,,9.4
00100001,20220606070000,1,353,54.66666667,4.25,,4.266666667
00100001,20220606170000,1,1533,39,14.75,,14.76666667
00100001,20220606080000,1,278,53.66666667,3.46,,3.466666667
00100001,20220606230000,1,491,46,7.963333333,,7.966666667
00100001,20220606180000,1,1731,35.33333333,14.89,,14.9
00100001,20220606060000,1,157,53,3.25,,3.233333333
00100001,20220606220000,1,740,43,10.25666667,,10.3
00100001,20220606020000,1,130,53.66666667,2.786666667,,2.8
00100001,20220606000000,1,323,48,6.15,,6.166666667
00100001,20220606110000,1,848,49.66666667,7.583333333,,7.6
00100001,20220606210000,1,1024,41,11.44666667,,11.43333333
00100001,20220606050000,1,76,50,2.536666667,,2.5
00100001,20220606120000,1,1104,46,9.11,,9.133333333
00100001,20220606150000,1,1655,41.66666667,13.44666667,,13.43333333
00100001,20220606190000,1,1485,41.66666667,12.12,,12.13333333
00100001,20220606040000,1,65,52,2.083333333,,2.1
00100001,20220606160000,1,1433,42.66666667,13.23,,13.26666667
00100001,20220606010000,1,214,49.33333333,4.243333333,,4.233333333
00100001,20220606030000,1,67,51.66666667,2.576666667,,2.566666667
00100001,20220608000000,1,230,52.33333333,3.91,,3.933333333
00100001,20220608050000,1,75,54.33333333,2.946666667,,3
00100001,20220608060000,1,207,54.66666667,3.156666667,,3.166666667
00100001,20220608220000,1,717,44.66666667,8.876666667,,8.866666667
00100001,20220608030000,1,66,53.66666667,2.08,,2.1
00100001,20220608140000,1,1058,48,9.386666667,,9.4
00100001,20220608160000,1,992,47,10.11333333,,10.13333333
00100001,20220608090000,1,925,52,7.223333333,,7.266666667
00100001,20220608110000,1,848,51.33333333,8.483333333,,8.5
00100001,20220608120000,1,817,51.66666667,7.976666667,,8.033333333
00100001,20220608040000,1,47,48.66666667,2.233333333,,2.233333333
00100001,20220608210000,1,766,43.66666667,9.01,,9
00100001,20220608200000,1,1229,45.33333333,9.86,,9.866666667
00100001,20220608230000,1,461,47,7.03,,7.066666667
